GJ,Gujarat
MH,Maharastra
DL,Delhi
RJ,Rajsthan
UP,UttarPradesh
MP,MadhyaPradesh
PN,Panjab
PU,Pondechery
GA,Goa
CH,Chhatishgrah
KL,Kerala
TN,TamilNadu
WB,WestBangal
JM,Jammu & Kasmir
HR,Hariyana
DN,Diu & Daman
AP,AndhraPradesh
AR,ArunachalPradesh
KA,Karnataka
